IDFuncionario,DataContratacao,Gênero,Etinia,AgeGroup,Cargo,Departamento,SiteID
EMP-00335,2024-02-26,Feminino,Amarela,46-60,Analista,Sustentabilidade,S-005
EMP-00336,2023-06-10,Feminino,Indígena,26-35,Analista,Engenharia,S-003
EMP-00337,2023-08-16,Feminino,Preta,18-25,Gestor,Sustentabilidade,S-001
EMP-00338,2024-11-07,Masculino,Branca,46-60,Analista,Financeiro,S-003
EMP-00339,2024-10-17,Feminino,Parda,18-25,Gestor,Sustentabilidade,S-003
EMP-00340,2024-10-15,Masculino,Branca,18-25,Especialista,Engenharia,S-004
EMP-00341,2024-03-02,Feminino,Branca,26-35,Gestor,Financeiro,S-005
EMP-00342,2024-02-27,Masculino,Branca,36-45,Analista,Sustentabilidade,S-003
EMP-00343,2024-09-30,Masculino,Amarela,36-45,Gestor,Sustentabilidade,S-001
EMP-00344,2024-03-27,Masculino,Indígena,18-25,Gestor,Sustentabilidade,S-003
EMP-00345,2024-06-10,Feminino,Branca,36-45,Analista,Sustentabilidade,S-002
EMP-00346,2023-09-18,Feminino,Parda,18-25,Especialista,RH,S-005
EMP-00347,2023-01-31,Masculino,Preta,18-25,Analista,Sustentabilidade,S-002
EMP-00348,2023-04-02,Feminino,Indígena,36-45,Gestor,Sustentabilidade,S-002
EMP-00349,2024-01-24,Feminino,Preta,26-35,Especialista,Operações,S-001
EMP-00350,2023-05-30,Masculino,Preta,46-60,Especialista,Engenharia,S-004
EMP-00351,2024-04-15,Masculino,Preta,18-25,Especialista,RH,S-003
EMP-00352,2024-01-01,Masculino,Parda,36-45,Gestor,Sustentabilidade,S-005
EMP-00353,2024-05-01,Feminino,Indígena,36-45,Analista,Operações,S-001
EMP-00354,2024-05-28,Masculino,Branca,46-60,Especialista,Engenharia,S-001
EMP-00355,2023-02-16,Masculino,Preta,26-35,Analista,Financeiro,S-002
EMP-00356,2023-04-24,Masculino,Parda,26-35,Analista,Sustentabilidade,S-003
EMP-00357,2024-03-06,Feminino,Branca,36-45,Gestor,Operações,S-004
EMP-00358,2023-11-11,Feminino,Parda,46-60,Especialista,Operações,S-003
EMP-00359,2024-01-31,Feminino,Preta,26-35,Especialista,RH,S-001
EMP-00360,2023-01-31,Feminino,Indígena,46-60,Especialista,Engenharia,S-002
EMP-00361,2023-07-09,Masculino,Amarela,36-45,Especialista,Engenharia,S-002
EMP-00362,2024-01-30,Masculino,Parda,18-25,Especialista,Financeiro,S-003
EMP-00363,2023-11-05,Feminino,Branca,46-60,Especialista,Operações,S-004
EMP-00364,2023-08-12,Feminino,Branca,36-45,Especialista,Sustentabilidade,S-004
EMP-00365,2024-05-09,Masculino,Parda,46-60,Analista,RH,S-001
EMP-00366,2024-05-29,Masculino,Amarela,26-35,Analista,Financeiro,S-004
EMP-00367,2024-02-23,Feminino,Parda,18-25,Gestor,RH,S-005
EMP-00368,2023-09-23,Feminino,Amarela,26-35,Analista,Sustentabilidade,S-005
EMP-00369,2024-02-14,Feminino,Indígena,18-25,Especialista,Sustentabilidade,S-004
EMP-00370,2023-11-13,Feminino,Branca,36-45,Gestor,Financeiro,S-002
EMP-00371,2023-01-31,Masculino,Parda,18-25,Especialista,Operações,S-003
EMP-00372,2024-05-24,Masculino,Branca,18-25,Analista,Financeiro,S-002
EMP-00373,2023-02-15,Feminino,Indígena,18-25,Gestor,Engenharia,S-001
EMP-00374,2023-03-18,Masculino,Preta,36-45,Gestor,Sustentabilidade,S-002
EMP-00375,2024-02-14,Masculino,Preta,46-60,Gestor,Operações,S-003
EMP-00376,2024-05-18,Feminino,Branca,26-35,Especialista,Engenharia,S-003
EMP-00377,2023-05-28,Feminino,Parda,18-25,Analista,Financeiro,S-004
EMP-00378,2023-06-03,Masculino,Amarela,26-35,Gestor,Operações,S-005
EMP-00379,2024-07-25,Feminino,Indígena,46-60,Especialista,RH,S-002
EMP-00380,2023-05-30,Masculino,Indígena,18-25,Especialista,Sustentabilidade,S-002
EMP-00381,2023-07-27,Feminino,Parda,46-60,Especialista,RH,S-005
EMP-00382,2023-11-15,Masculino,Amarela,46-60,Analista,Sustentabilidade,S-002
EMP-00383,2024-01-22,Masculino,Preta,36-45,Analista,Engenharia,S-003
EMP-00384,2024-06-17,Masculino,Preta,46-60,Analista,Engenharia,S-002
EMP-00385,2023-09-06,Feminino,Amarela,18-25,Analista,Sustentabilidade,S-005
EMP-00386,2024-04-18,Masculino,Preta,46-60,Gestor,Engenharia,S-003
EMP-00387,2023-09-17,Masculino,Indígena,46-60,Gestor,Engenharia,S-005
EMP-00388,2023-08-04,Masculino,Preta,46-60,Gestor,Engenharia,S-001
EMP-00389,2024-09-21,Masculino,Amarela,26-35,Especialista,Sustentabilidade,S-004
EMP-00390,2023-01-27,Feminino,Amarela,18-25,Gestor,Operações,S-001
EMP-00391,2023-07-02,Masculino,Preta,46-60,Especialista,Financeiro,S-002
EMP-00392,2024-10-11,Feminino,Parda,36-45,Gestor,Sustentabilidade,S-005
EMP-00393,2023-07-11,Masculino,Indígena,46-60,Especialista,Operações,S-002
EMP-00394,2023-10-13,Masculino,Indígena,26-35,Gestor,Operações,S-004
EMP-00395,2023-11-10,Feminino,Parda,46-60,Gestor,RH,S-005
EMP-00396,2024-06-19,Masculino,Preta,18-25,Especialista,Sustentabilidade,S-003
EMP-00397,2023-10-11,Masculino,Branca,46-60,Gestor,RH,S-003
EMP-00398,2023-10-30,Feminino,Branca,46-60,Analista,RH,S-002
EMP-00399,2024-01-01,Masculino,Amarela,26-35,Analista,Sustentabilidade,S-003
EMP-00400,2024-06-06,Feminino,Branca,18-25,Analista,Operações,S-004
EMP-00401,2024-10-17,Feminino,Branca,26-35,Gestor,Engenharia,S-004
EMP-00402,2023-10-26,Masculino,Preta,36-45,Analista,RH,S-004
EMP-00403,2024-08-01,Masculino,Amarela,26-35,Especialista,Operações,S-005
EMP-00404,2023-12-11,Masculino,Parda,18-25,Gestor,Operações,S-004
EMP-00405,2024-07-14,Masculino,Preta,26-35,Gestor,Sustentabilidade,S-004
EMP-00406,2024-05-19,Feminino,Parda,36-45,Analista,Sustentabilidade,S-005
EMP-00407,2024-11-02,Feminino,Amarela,36-45,Especialista,Financeiro,S-004
EMP-00408,2024-01-31,Masculino,Parda,26-35,Especialista,RH,S-001
EMP-00409,2024-09-09,Masculino,Parda,46-60,Analista,RH,S-005
EMP-00410,2023-11-23,Feminino,Preta,46-60,Especialista,Sustentabilidade,S-002
EMP-00411,2024-08-24,Masculino,Parda,18-25,Analista,Financeiro,S-001
EMP-00412,2024-02-01,Masculino,Preta,18-25,Especialista,Sustentabilidade,S-003
EMP-00413,2024-09-14,Feminino,Branca,26-35,Analista,Operações,S-004
EMP-00414,2023-06-09,Feminino,Preta,36-45,Gestor,Engenharia,S-005
EMP-00415,2024-06-21,Masculino,Preta,26-35,Analista,Operações,S-002
EMP-00416,2024-04-26,Feminino,Amarela,46-60,Gestor,Operações,S-003
EMP-00417,2023-08-20,Masculino,Branca,18-25,Especialista,Operações,S-003
EMP-00418,2024-11-24,Feminino,Indígena,36-45,Especialista,Financeiro,S-002
EMP-00419,2023-05-27,Feminino,Parda,18-25,Analista,Sustentabilidade,S-004
EMP-00420,2023-09-19,Masculino,Branca,18-25,Gestor,Financeiro,S-001
EMP-00421,2024-06-23,Masculino,Branca,18-25,Analista,RH,S-003
EMP-00422,2023-02-09,Masculino,Parda,18-25,Analista,RH,S-005
EMP-00423,2024-12-19,Masculino,Branca,26-35,Especialista,RH,S-004
EMP-00424,2024-12-20,Feminino,Parda,36-45,Analista,Sustentabilidade,S-003
EMP-00425,2024-04-18,Feminino,Preta,36-45,Especialista,Engenharia,S-001
EMP-00426,2023-11-02,Masculino,Preta,46-60,Gestor,Engenharia,S-005
EMP-00427,2023-08-16,Feminino,Indígena,36-45,Analista,Engenharia,S-004
EMP-00428,2023-05-16,Masculino,Indígena,26-35,Especialista,Operações,S-002
EMP-00429,2023-11-28,Masculino,Branca,26-35,Especialista,Financeiro,S-004
EMP-00430,2023-04-25,Feminino,Branca,26-35,Analista,Engenharia,S-001
EMP-00431,2024-12-18,Masculino,Branca,46-60,Analista,Engenharia,S-005
EMP-00432,2023-05-23,Feminino,Amarela,26-35,Especialista,Sustentabilidade,S-005
EMP-00433,2023-11-19,Feminino,Parda,36-45,Especialista,Engenharia,S-001
EMP-00434,2023-04-13,Feminino,Indígena,36-45,Especialista,Sustentabilidade,S-005
EMP-00435,2023-03-15,Feminino,Indígena,46-60,Analista,RH,S-001
EMP-00436,2023-05-21,Feminino,Branca,18-25,Especialista,Sustentabilidade,S-004
EMP-00437,2024-01-06,Feminino,Preta,18-25,Analista,Operações,S-001
EMP-00438,2023-09-07,Feminino,Branca,46-60,Analista,Financeiro,S-001
EMP-00439,2023-10-02,Masculino,Amarela,46-60,Gestor,Sustentabilidade,S-004
EMP-00440,2023-12-23,Masculino,Preta,46-60,Gestor,RH,S-001
EMP-00441,2024-01-03,Masculino,Preta,36-45,Gestor,Operações,S-002
EMP-00442,2023-05-29,Masculino,Parda,36-45,Analista,Financeiro,S-004
EMP-00443,2023-08-26,Masculino,Preta,46-60,Gestor,Financeiro,S-004
EMP-00444,2023-11-29,Masculino,Branca,18-25,Analista,Sustentabilidade,S-003
EMP-00445,2023-06-30,Masculino,Preta,18-25,Especialista,Sustentabilidade,S-003
EMP-00446,2024-10-11,Feminino,Amarela,46-60,Especialista,Financeiro,S-005
EMP-00447,2023-06-18,Feminino,Indígena,18-25,Analista,Engenharia,S-003
EMP-00448,2023-02-20,Feminino,Indígena,18-25,Gestor,Operações,S-002
EMP-00449,2024-02-22,Masculino,Parda,36-45,Gestor,RH,S-004
EMP-00450,2023-03-04,Masculino,Branca,18-25,Analista,Sustentabilidade,S-005
EMP-00451,2024-12-31,Masculino,Branca,46-60,Especialista,RH,S-003
EMP-00452,2024-02-19,Feminino,Preta,26-35,Especialista,Financeiro,S-005
EMP-00453,2023-02-06,Feminino,Branca,26-35,Analista,Financeiro,S-005
EMP-00454,2024-01-25,Feminino,Indígena,26-35,Analista,Engenharia,S-004
EMP-00455,2024-12-09,Masculino,Indígena,26-35,Analista,Operações,S-001
EMP-00456,2024-06-22,Feminino,Branca,18-25,Especialista,Financeiro,S-005
EMP-00457,2023-05-16,Feminino,Indígena,46-60,Analista,Financeiro,S-005
EMP-00458,2023-09-18,Feminino,Branca,26-35,Especialista,Sustentabilidade,S-005
EMP-00459,2023-06-28,Feminino,Branca,18-25,Especialista,Financeiro,S-002
EMP-00460,2024-08-15,Masculino,Amarela,46-60,Especialista,Sustentabilidade,S-001
EMP-00461,2023-08-10,Masculino,Branca,18-25,Especialista,Operações,S-004
EMP-00462,2023-03-17,Feminino,Preta,18-25,Analista,Sustentabilidade,S-001
EMP-00463,2023-04-04,Feminino,Indígena,36-45,Especialista,Financeiro,S-005
EMP-00464,2023-10-14,Feminino,Preta,36-45,Especialista,Financeiro,S-003
EMP-00465,2024-03-21,Masculino,Branca,26-35,Analista,RH,S-005
EMP-00466,2023-08-06,Feminino,Preta,36-45,Gestor,Sustentabilidade,S-001
EMP-00467,2023-02-14,Masculino,Indígena,36-45,Analista,Financeiro,S-005
EMP-00468,2024-08-10,Masculino,Indígena,36-45,Especialista,Engenharia,S-003
EMP-00469,2024-08-24,Masculino,Amarela,26-35,Gestor,Sustentabilidade,S-001
EMP-00470,2024-05-06,Feminino,Amarela,26-35,Especialista,Engenharia,S-001
EMP-00471,2023-01-29,Masculino,Preta,46-60,Analista,Sustentabilidade,S-004
EMP-00472,2023-09-15,Masculino,Branca,18-25,Analista,Sustentabilidade,S-001
EMP-00473,2024-09-21,Feminino,Parda,46-60,Especialista,RH,S-001
EMP-00474,2023-01-14,Masculino,Amarela,18-25,Especialista,RH,S-001
EMP-00475,2024-03-21,Feminino,Indígena,18-25,Gestor,Financeiro,S-001
EMP-00476,2023-01-09,Feminino,Amarela,46-60,Especialista,Financeiro,S-005
EMP-00477,2023-04-03,Feminino,Branca,26-35,Especialista,Engenharia,S-005
EMP-00478,2023-02-08,Masculino,Parda,46-60,Especialista,Operações,S-001
EMP-00479,2023-12-18,Masculino,Parda,46-60,Especialista,Engenharia,S-004
EMP-00480,2024-07-02,Feminino,Parda,18-25,Especialista,Financeiro,S-005
EMP-00481,2023-09-28,Feminino,Indígena,26-35,Gestor,Engenharia,S-005
EMP-00482,2023-06-13,Feminino,Parda,26-35,Especialista,Engenharia,S-005
EMP-00483,2024-04-24,Feminino,Branca,36-45,Especialista,Financeiro,S-004
EMP-00484,2024-05-19,Feminino,Amarela,18-25,Especialista,Financeiro,S-003
EMP-00485,2023-06-26,Feminino,Indígena,18-25,Especialista,Sustentabilidade,S-002
EMP-00486,2023-01-30,Masculino,Amarela,18-25,Especialista,Engenharia,S-001
EMP-00487,2024-03-22,Feminino,Amarela,46-60,Gestor,Sustentabilidade,S-001
EMP-00488,2024-09-22,Masculino,Indígena,46-60,Especialista,Operações,S-005
EMP-00489,2023-02-01,Masculino,Indígena,18-25,Especialista,Operações,S-002
EMP-00490,2023-04-01,Masculino,Indígena,46-60,Gestor,Financeiro,S-005
EMP-00491,2024-03-24,Masculino,Amarela,18-25,Analista,Financeiro,S-004
EMP-00492,2024-10-05,Masculino,Indígena,18-25,Especialista,RH,S-003
EMP-00493,2024-03-23,Feminino,Preta,26-35,Especialista,Sustentabilidade,S-002
EMP-00494,2023-09-19,Feminino,Branca,26-35,Gestor,Operações,S-002
EMP-00495,2023-07-12,Masculino,Preta,36-45,Especialista,Engenharia,S-002
EMP-00496,2023-05-02,Masculino,Parda,36-45,Especialista,Engenharia,S-003
EMP-00497,2024-08-11,Masculino,Amarela,18-25,Especialista,Sustentabilidade,S-004
EMP-00498,2023-11-03,Feminino,Indígena,26-35,Especialista,Sustentabilidade,S-002
EMP-00499,2024-01-08,Masculino,Preta,46-60,Gestor,RH,S-003
EMP-00500,2024-07-20,Masculino,Parda,26-35,Gestor,Engenharia,S-002
